violated_articles,count
제75조,668
제2조,651
제63조,632
제29조,577
제7조,554
제6조,496
제8조,473
제66조,408
제5조,357
제30조,314
제4조,287
제64조,272
제48조의2,269
제18조,207
제3조,189
제39조의4,162
제61조,157
제48조의4,148
제28조,113
제21조,111
제39조의15,111
제48조의11,108
제15조,107
제26조,107
제34조,102
제24조,89
제64조의2,80
제25조,75
제9조,73
제24조의2,72
제11조,71
제76조,57
제10조,56
제60조의2,56
제17조,55
제22조,54
제23조,51
제39조,47
제40조,41
제30조의2,40
제63조의2,38
제65조,33
제31조,33
제39조의3,33
제27조,32
제38조,29
제39조의6,27
제59조,26
제74조,25
제33조,25
제12조,21
제16조,20
제48조의5,20
제34조의2,20
제35조,15
제40조의2,15
제19조,14
제64조의3,12
제32조,11
제37조,10
제27조의3,10
제20조,9
제32조의2,9
제26조의2,9
제14조의2,8
제13조,8
제69조의2,8
제41조,8
제42조,7
제7조의8,7
제14조,7
제67조,6
제47조,6
제28조의8,6
제58조,6
제28조의2,5
제28조의4,5
제68조,5
제39조의12,4
제22조의2,4
제36조,4
제10조의2,4
제29조의5,4
제31조의2,4
제71조,4
제21조의2,3
제28조의3,3
제13조의2,3
제23조의2,3
제23조의3,3
제27조의2,3
제44조,3
제131조,2
제55조,2
제127조,2
제48조,2
제69조,2
제49조,2
제1조,2
제85조의3,2
제60조,2
제7조의9,2
제43조의2,2
제36조의2,2
제49조의11,2
제39조의10,2
제15조의2,2
제39조의7,2
제32조의3,2
제62조,2
제52조의2,1
제110조,1
제166조,1
제56조,1
제78조,1
제48조의3,1
제17조의5,1
제194조의6,1
제129조,1
제77조,1
제19조의2,1
제58조의2,1
제34조의3,1
제160조,1
제37조의2,1
제128조,1
제130조,1
제13조의3,1
제108조,1
제85조,1
제88조,1
제84조,1
제12조의2,1
제150조,1
제18조의3,1
제95조,1
제25조의2,1
제33조의4,1
제39조의9,1
제3조의3,1
제73조,1
제109조,1
제487조,1
제37조의3,1
