issue_id,issue,primary_sections,corpus_tags,why_it_matters,source_urls
1,"Behavioral advertising, consent, and platform control","enforcement;interpretation_other","행태정보;맞춤형 광고;동의;제3자 제공;국외이전","Global platform enforcement and Google/Meta litigation make consent design and platform control a central controversy.","https://www.lawtimes.co.kr/news/205969 | https://www.lawtimes.co.kr/news/197377 | https://www.kci.go.kr/kciportal/landing/article.kci?arti_id=ART003161930 | https://www.donga.com/news/Economy/article/all/20220914/115450664/1"
2,"Mega-leak enforcement and fine proportionality","enforcement;data_quality","유출;안전조치;통지지연;고액과징금;제29조","SKT-type mega-leaks raise proportionality, calculation, and litigation-risk issues.","https://www.segye.com/newsView/20250828516111 | https://www.khan.co.kr/article/202508282051025 | https://www.etnews.com/20260119000417 | https://www.mt.co.kr/tech/2025/08/28/2025082808104349505"
3,"Causation and adequacy of safety measures","enforcement","제29조;접근통제;접속기록;인과관계;재량권","Court cases show disputes over whether measures were sufficient and whether causation is required for fines.","https://www.lawtimes.co.kr/news/172772 | https://slgodung.scourt.go.kr/dcboard/new/DcNewsViewAction.work?cbub_code=000200&gubun=44&pageIndex=1&searchWord=&seqnum=25540"
4,"Overseas transfer, cloud, and data sovereignty","enforcement;privacy_impact_review;interpretation_other","국외이전;클라우드;위탁;제3자 제공;적정성","Scholarship and enforcement coverage frame overseas transfer as sovereignty, consent, and safeguard issue.","https://www.kci.go.kr/kciportal/landing/article.kci?arti_id=ART002540745 | https://www.kci.go.kr/kciportal/landing/article.kci?arti_id=ART001764632 | https://scholar.korea.ac.kr/handle/2021.sw.korea/110585 | https://dailian.co.kr/news/view/1497946"
5,"Automated decisions, AI, and explainability","privacy_impact_review;public_system_inspection;prior_review","AI;자동화된 결정;설명요구;거부권;프로파일링","New legal rights and AI governance debates are likely underrepresented in older decisions but important going forward.","https://www.lawtimes.co.kr/LawFirm-NewsLetter/198691 | https://www.riss.kr/search/detail/ssoSkipDetailView.do?control_no=603c33d0633c7e0dd18150b21a227875&p_mat_type=1a0202e37d52c72d | https://biz.chosun.com/it-science/ict/2024/02/19/UDKSYYLUDRGR5MYT3GMVGNG2B4/ | https://www.kli.re.kr/pdfPreviewDownload?fileName=F6EDCE04416A373949258DCB002C74CC_4.pdf&fileNameOrg=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%EA%B3%BC+%EB%85%B8%EC%82%AC%EA%B4%80%EA%B3%84%EC%9D%98+%EB%B3%80%ED%99%94%EC%99%80+%EC%9F%81%EC%A0%90_web.pdf&filePath1=jsphome%2FDATA%2FpblctList%2Fissue%2FF6EDCE04416A373949258DCB002C74CC"
6,"Preventive inspection versus ex post sanctions","public_system_inspection;prior_review;enforcement","사전실태점검;집중관리시스템;예방;사후제재","News and policy materials criticize insufficient preventive inspection and call for prevention-oriented governance.","https://www.mt.co.kr/tech/2025/10/14/2025101408513035134 | https://www.fnnews.com/news/202409121202240156 | https://www.evaluation.go.kr/upload2/atch/eval/20240603134618828.pdf"
7,"CCTV and video information boundaries","data_provision_request;interpretation_other;enforcement","CCTV;영상정보;목적 외 이용;제3자 제공;열람권","Academic and news sources show persistent disputes over CCTV provision, access, public-safety exceptions, and installation boundaries.","https://www.kci.go.kr/kciportal/landing/article.kci?arti_id=ART002450923 | https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002691897 | https://www.boannews.com/media/view.asp?idx=121613 | https://www.newsis.com/view/NISX20220810_0001974027 | https://zdnet.co.kr/view/?no=20250616102733"
8,"Children's data and legal representative consent","enforcement;privacy_impact_review","아동;만 14세;법정대리인;동의;마케팅","Recent enforcement waves highlight under-14 consent, age screening, and marketing bundling issues.","https://view.asiae.co.kr/article/2026021210573280495 | https://www.hankyung.com/article/202408293351i | https://www.kjtimes.com/news/article.html?no=78871"
9,"Privacy policy evaluation, CPO governance, and accountability","enforcement;privacy_impact_review;data_quality","처리방침;CPO;보호책임자;책임성;평가","Strengthened CPO and policy-evaluation rules make governance a separate analytical lens, not only an outcome remedy.","https://www.lawtimes.co.kr/LawFirm-NewsLetter/197740 | https://biz.chosun.com/it-science/ict/2024/02/19/UDKSYYLUDRGR5MYT3GMVGNG2B4/ | https://www.shinkim.com/kor/media/newsletter/pdf/2452"
10,"Victim remedies, collective dispute resolution, and use of fines","enforcement;data_quality","피해구제;분쟁조정;손해배상;과징금 기금화;통지","Mega-leak coverage raises whether fines deter firms but fail to directly compensate affected data subjects.","https://www.mt.co.kr/tech/2025/09/11/2025091109180344318 | https://www.asiae.co.kr/article/IT/2025091515464252534 | https://www.newsprime.co.kr/news/article/?no=711222"
11,"Sector-specific recurring leaks and violations","overview;enforcement;public_system_inspection","통신;식음료;의료;모빌리티;공공시스템;플랫폼","Sector analysis should compare recurring industry defects rather than only individual decisions.","https://view.asiae.co.kr/article/2026021210573280495 | https://www.hankyung.com/article/202408293351i | https://www.lawtimes.co.kr/news/201006 | https://www.segye.com/newsView/20250828516111"
