sanction_package,count
과태료,256
과태료+공표명령,94
과태료+시정명령,72
과징금+과태료+공표명령,64
시정명령,64
과징금+과태료,52
개선권고,37
공표명령+개선권고,36
과태료+개선권고,28
과태료+공표명령+개선권고,28
과태료+시정명령+공표명령,28
(none),27
과태료+시정명령+공표명령+개선권고,19
과징금+과태료+시정명령+공표명령,19
과징금+과태료+시정명령,12
과징금,12
시정명령+공표명령,9
과징금+과태료+시정명령+공표명령+개선권고,7
시정명령+개선권고,6
과징금+과태료+공표명령+개선권고,6
과징금+공표명령+개선권고,4
주의,4
과징금+과태료+시정명령+개선권고,4
과징금+개선권고,4
과태료+시정명령+개선권고,3
과징금+시정명령+공표명령,3
과징금+과태료+개선권고,2
고발,2
과징금+공표명령+개선권고+고발,2
과징금+시정명령+개선권고,2
과징금+공표명령,1
과징금+시정명령+공표명령+개선권고,1
과징금+시정명령+고발,1
과징금+시정명령,1
시정명령+공표명령+개선권고,1
과징금+과태료+시정명령+공표명령+고발,1
