keyword,count
대한,16373
img,12876
관한,11869
같은,11728
있다,11533
시행령,9578
피심인은,9007
경우,8221
과태료,8121
규정하고,7810
피심인의,7121
같이,6873
등을,6593
유출,6551
이미지,6503
do,6442
src,6438
alt,6438
LSW,6436
flDownload,6436
flSeq,6436
결과,6067
개인정보의,5890
라고,5288
따른,5207
침해요인,4832
개인정보를,4547
또는,4497
조치를,4245
다음과,4112
일부개정안에,4040
개인정보가,3951
부과기준,3946
위반행위에,3884
주문과,3857
의결한다,3845
안건명,3792
법률,3784
안건번호,3766
의결연월일,3751
이하,3742
관련,3741
제29조,3693
안전성,3643
신청인,3599
같다,3536
시행규칙,3518
필요한,3501
위반행위의,3479
피심인이,3454
고려하여,3375
대해,3373
행위,3184
평가에,3179
해당,3155
과태료의,3090
이유로,3051
위반에,3032
이상과,2932
않은,2836
위하여,2821
사실을,2777
개인정보보호,2767
과징금,2752
기준금액의,2682
별지와,2681
등에,2624
받은,2563
가중,2517
위한,2502
사실이,2424
수집,2414
판단,2404
개인정보처리자는,2403
100분의,2382
통해,2346
위해,2346
해당하는,2334
등의,2315
이상,2300
제2024,2277
정보통신서비스,2276
위법성,2260
부과한다,2248
이용자의,2238
기준,2219
일부개정안,2217
소홀히,2217
위반,2188
시행,2181
사실,2171
과태료를,2158
제1항,2121
개인정보처리시스템에,2074
조치,2065
법규,2054
별표2,2052
경우에는,2046
개인정보보호위원회,2044
각주,2044
