field,missing_rate
decision_id,0.0
agency,0.014035087719298246
title,0.04962406015037594
agenda_no,0.056140350877192984
meeting_type,0.26766917293233083
decision_type,0.0012531328320802004
decision_date,0.002255639097744361
applicant,0.11453634085213033
order_text,0.011779448621553884
reason_text,0.0020050125313283208
background_text,1.0
summary_text,0.03859649122807018
main_text,1.0
objection_text,0.7897243107769424
signature_text,0.041353383458646614
appendix_text,0.3954887218045113
raw_xml_path,0.0
document_category,0.0
sanction_strength,0.0
sanction_types,0.600250626566416
monetary_amount,0.8197994987468672
violated_articles,0.5932330827067669
case_type,0.6280701754385964
factors,0.031578947368421054
document_length,0.0
order_length,0.0
reason_length,0.0
title_length,0.0
summary_length,0.0
